Reference Year,Basis Type,Season,State,Crop,Human Labour Cost (₹/ha),Seasonal Avg Daily Wage (₹/day),Yield (qtl/ha),Wage Reference Period,Human Labour Source,Wage Source,Yield Source,Source Report,Annex 5.6 Report Page,Notes
2021-22,Actual,Kharif,Karnataka,Groundnut,24547,366,12.23,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",257,
2021-22,Actual,Kharif,Karnataka,Jowar,16734,366,11.08,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",230,
2021-22,Actual,Kharif,Karnataka,Maize,18770,366,35.46,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",238,
2021-22,Actual,Kharif,Karnataka,Moong,11838,366,4.6,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",248,
2021-22,Actual,Kharif,Karnataka,Paddy,25776,366,48,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",225,
2021-22,Actual,Kharif,Karnataka,Ragi,30879,366,13.42,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",242,
2021-22,Actual,Kharif,Karnataka,Soybean,13998,366,13.55,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",261,
2021-22,Actual,Kharif,Karnataka,Sunflower,15303,366,7.87,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",264,
2021-22,Actual,Kharif,Karnataka,Urad,12480,366,5.39,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",252,
2021-22,Actual,Kharif,Kerala,Paddy,42047,741.6,36.23,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",225,
2021-22,Actual,Kharif,Madhya Pradesh,Cotton,30295,239,15.05,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",271,
2021-22,Actual,Kharif,Madhya Pradesh,Maize,13869,239,31.14,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",238,
2021-22,Actual,Kharif,Madhya Pradesh,Paddy,17865,239,44.87,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",226,
2021-22,Actual,Kharif,Madhya Pradesh,Sesamum,14239,239,5.77,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",266,
2021-22,Actual,Kharif,Madhya Pradesh,Soybean,8167,239,10.74,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",262,
2021-22,Actual,Kharif,Madhya Pradesh,Urad,7791,239,5.84,May–November 2021,Annex 5.6 – Break-up of Cost of Cultivation,Annex 5.3 – Monthly Average Daily Wage Rates,Annex 5.6 – Yield,"CACP Price Policy for Kharif Crops, Marketing Season 2025-26",252,
